carbon_source,carbon_conc,nitrogen_source,nitrogen_conc,substrate_TR,substrate_MW,substrate_uptake
M_fru,0.655,M_nh4,1.000,R_FRUabc,0.18016,3.014
M_fru,0.336,M_nh4,1.000,R_FRUabc,0.18016,2.396
M_fru,0.215,M_nh4,1.000,R_FRUabc,0.18016,1.777
M_fru,0.110,M_nh4,1.000,R_FRUabc,0.18016,1.159
M_fru,0.045,M_nh4,1.000,R_FRUabc,0.18016,0.541
M_succ,0.215,M_nh4,1.000,R_SUCCt2r,0.11809,4.704
M_succ,0.137,M_nh4,1.000,R_SUCCt2r,0.11809,3.778
M_succ,0.088,M_nh4,1.000,R_SUCCt2r,0.11809,2.853
M_succ,0.056,M_nh4,1.000,R_SUCCt2r,0.11809,1.927
M_succ,0.029,M_nh4,1.000,R_SUCCt2r,0.11809,1.002
M_for,1.024,M_nh4,1.000,R_FORt,0.04603,62.000
M_for,0.268,M_nh4,1.000,R_FORt,0.04603,50.884
M_for,0.137,M_nh4,1.000,R_FORt,0.04603,38.739
M_for,0.088,M_nh4,1.000,R_FORt,0.04603,26.594
M_for,0.036,M_nh4,1.000,R_FORt,0.04603,14.448
M_fru,1.000,M_nh4,0.336,R_NH4t,0.05349,2.524
M_fru,1.000,M_nh4,0.137,R_NH4t,0.05349,1.941
M_fru,1.000,M_nh4,0.056,R_NH4t,0.05349,1.357
M_fru,1.000,M_nh4,0.023,R_NH4t,0.05349,0.774
M_fru,1.000,M_nh4,0.008,R_NH4t,0.05349,0.191
